race_date,race_code,umaban,bamei,chaku,odds_fin
2026-08-15,2026081501010704,7,コイバナ,3,10.8000000000000000
2026-08-15,2026081501010704,8,ワイルドカイザー,12,248.0000000000000000
2026-08-15,2026081501010704,10,ブロント,11,27.0000000000000000
2026-08-15,2026081501010704,2,シエルブリエ,9,49.2000000000000000
2026-08-15,2026081501010704,3,ポップアップ,2,3.7000000000000000
2026-08-15,2026081501010704,4,ロードステラート,4,12.7000000000000000
2026-08-15,2026081501010704,5,ガビーズメロディ,10,60.7000000000000000
2026-08-15,2026081501010704,6,ウインガネーシャ,5,2.8000000000000000
2026-08-15,2026081501010704,1,ザンテソーロ,6,4.5000000000000000
2026-08-15,2026081501010704,11,ウインモンクール,8,79.2000000000000000
2026-08-15,2026081501010704,9,ブラックパロット,7,34.7000000000000000
2026-08-15,2026081501010705,9,トスカ,4,25.1000000000000000
2026-08-15,2026081501010705,1,パーフェクトゲーム,2,4.5000000000000000
2026-08-15,2026081501010706,11,サウンドファミリエ,2,15.4000000000000000
2026-08-15,2026081501010706,2,タマモパルファン,10,89.7000000000000000
2026-08-15,2026081501010706,5,レイナデルアイレ,8,20.6000000000000000
2026-08-15,2026081501010706,4,ヒャクレツケン,13,231.2000000000000000
2026-08-15,2026081501010707,1,メリザンド,11,7.1000000000000000
2026-08-15,2026081501010707,3,ミッキーテネシー,10,2.1000000000000000
2026-08-15,2026081501010707,11,ディヒターリーベ,4,13.7000000000000000
2026-08-15,2026081501010707,14,キタノサリスカ,5,34.2000000000000000
2026-08-15,2026081501010707,4,アンディムジーク,1,19.3000000000000000
2026-08-15,2026081501010707,6,エトワールブーケ,8,13.1000000000000000
2026-08-15,2026081501010707,9,アドマイヤシュラ,3,4.0000000000000000
2026-08-15,2026081501010707,13,セットエトワール,7,30.4000000000000000
2026-08-15,2026081501010708,4,ファンタイムギフト,4,34.3000000000000000
2026-08-15,2026081501010708,10,ミスティマウンテン,3,4.8000000000000000
2026-08-15,2026081501010708,11,ピースフルワールド,10,200.2000000000000000
2026-08-15,2026081501010708,1,フェニーチェドーロ,6,147.8000000000000000
2026-08-15,2026081501010708,6,ビービーバザーク,5,7.7000000000000000
2026-08-15,2026081501010708,2,カリーン,9,18.5000000000000000
2026-08-15,2026081501010708,5,タイセツナヒ,8,23.8000000000000000
2026-08-15,2026081501010708,7,ヒロイックヴァース,,5.4000000000000000
2026-08-15,2026081501010708,8,ハイライトニング,2,15.4000000000000000
2026-08-15,2026081501010708,9,ロードアマルフィ,1,2.6000000000000000
2026-08-15,2026081501010709,2,アヴナント,6,106.3000000000000000
2026-08-15,2026081501010709,5,ミラクルヴェリテ,7,30.8000000000000000
2026-08-15,2026081501010709,7,ウインワーグナー,,6.5000000000000000
2026-08-15,2026081501010709,1,コスモハナミズキ,3,7.4000000000000000
2026-08-15,2026081501010709,4,キャトルブランシュ,4,169.8000000000000000
2026-08-15,2026081501010709,6,アゴルディーノ,2,2.8000000000000000
2026-08-15,2026081501010710,8,グランテレーズ,7,11.3000000000000000
2026-08-15,2026081501010710,6,ブライティアダイヤ,11,118.6000000000000000
2026-08-15,2026081501010710,7,モズトキキ,14,18.4000000000000000
2026-08-15,2026081501010710,10,メイショウミリオレ,8,17.0000000000000000
2026-08-15,2026081501010710,12,ハリウッドメモリー,1,1.9000000000000000
2026-08-15,2026081501010710,16,エルサトアナ,13,54.6000000000000000
2026-08-15,2026081501010710,3,ムチャスグラシアス,12,54.7000000000000000
2026-08-15,2026081501010710,11,コックオーヴァン,9,11.5000000000000000
2026-08-15,2026081501010710,13,ベビーズブレス,5,41.2000000000000000
2026-08-15,2026081501010710,15,ミニョンマルーン,10,11.2000000000000000
2026-08-15,2026081501010711,5,ゲキザル,2,11.9000000000000000
2026-08-15,2026081501010711,9,キュールエフウジン,9,143.2000000000000000
2026-08-15,2026081501010711,1,プロミシングスター,5,9.4000000000000000
2026-08-15,2026081501010711,11,アイウィル,1,4.1000000000000000
